year,council,income,Roading,Transportation,Water supply,Wastewater,Solid waste/refuse,Environmental protection,Culture,Recreation and sport,Property,Emergency management,Planning and regulation,Community development,Economic development,Governance,Council support services,Other activities,Total
2014,Canterbury Regional Council,Employee costs,0,1505,0,0,0,13185,0,0,0,417,5099,0,0,2859,15275,629,38969
2014,Canterbury Regional Council,Depreciation and amortisation,0,701,0,0,0,1177,0,0,0,22,233,0,0,51,375,740,3299
2014,Canterbury Regional Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,1455,0,0,0,0,20,0,0,85,838,0,2398
2014,Canterbury Regional Council,Interest expenditure,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,309
2014,Canterbury Regional Council,Purchases and other operating expenditure,0,58908,0,0,0,27154,0,0,0,829,2762,0,0,4094,9092,-2102,100737
2014,Canterbury Regional Council,Total operating expenditure,0,61114,0,0,0,43280,0,0,0,1268,8114,0,0,7089,25580,-733,145712
2014,Canterbury Regional Council,Operating surplus/deficit,0,1173,0,0,0,16406,0,0,0,416,7934,0,0,4078,-23259,1677,8425
2014,Carterton District Council,Rates,1883,0,406,1233,501,0,796,820,534,192,518,399,0,729,14,98,8123
2014,Carterton District Council,Regulatory income and petrol tax,66,0,0,0,21,0,0,0,0,0,591,0,0,0,64,0,742
2014,Carterton District Council,"Current grants, subsidies, and donations income",701,0,0,0,0,0,3,0,0,0,0,70,0,0,0,0,774
2014,Carterton District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,146
2014,Carterton District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2014,Carterton District Council,Sales and other operating income,86,0,1172,322,223,0,68,7,404,8,8,5,0,46,26,0,2375
2014,Carterton District Council,Total operating income,2736,0,1578,1555,745,0,867,827,938,200,1117,474,0,775,251,98,12161
2014,Carterton District Council,Employee costs,36,0,248,188,17,0,391,267,79,10,545,37,0,301,884,7,3010
2014,Carterton District Council,Depreciation and amortisation,1323,0,587,331,26,0,128,136,403,0,17,0,0,1,182,2,3136
2014,Carterton District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,214,0,0,14,0,228
2014,Carterton District Council,Interest expenditure,63,0,24,206,0,0,1,21,177,0,0,0,0,0,9,0,501
2014,Carterton District Council,Purchases and other operating expenditure,1479,0,563,470,491,0,253,182,382,176,296,59,0,186,864,46,5447
2014,Carterton District Council,Total operating expenditure,2901,0,1422,1195,534,0,773,606,1041,186,858,310,0,488,1953,55,12322
2014,Carterton District Council,Operating surplus/deficit,-165,0,156,360,211,0,94,221,-103,14,259,164,0,287,-1702,43,-161
2014,Central Hawkes Bay District Council,Rates,6636,0,2103,3234,1566,0,464,954,1225,196,560,0,142,585,0,0,17665
2014,Central Hawkes Bay District Council,Regulatory income and petrol tax,135,0,0,0,0,0,0,0,0,0,677,0,0,0,0,0,812
2014,Central Hawkes Bay District Council,"Current grants, subsidies, and donations income",7644,0,0,0,0,0,0,194,0,0,0,0,0,23,0,0,7861
2014,Central Hawkes Bay District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,511
2014,Central Hawkes Bay District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Central Hawkes Bay District Council,Sales and other operating income,20,0,337,786,0,0,47,122,243,0,0,0,0,2,0,0,1557
2014,Central Hawkes Bay District Council,Total operating income,14435,0,2440,4020,1566,0,511,1270,1468,196,1237,0,142,610,511,0,28406
2014,Central Hawkes Bay District Council,Employee costs,135,0,52,0,0,0,244,0,0,56,536,0,0,274,1626,0,2923
2014,Central Hawkes Bay District Council,Depreciation and amortisation,8205,148,586,1051,71,0,375,137,478,27,4,0,0,0,89,0,11171
2014,Central Hawkes Bay District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,35,117,0,0,0,114,42,0,0,308
2014,Central Hawkes Bay District Council,Interest expenditure,24,0,150,322,230,0,0,33,49,0,0,0,0,0,0,0,808
2014,Central Hawkes Bay District Council,Purchases and other operating expenditure,2791,-612,1026,1106,1903,0,115,1228,634,52,414,0,57,289,732,0,9735
2014,Central Hawkes Bay District Council,Total operating expenditure,11155,-464,1814,2479,2204,0,734,1433,1278,135,954,0,171,605,2447,0,24945
2014,Central Hawkes Bay District Council,Operating surplus/deficit,3280,464,626,1541,-638,0,-223,-163,190,61,283,0,-29,5,-1936,0,3461
2014,Central Otago District Council,Rates,0,4439,2044,3039,2348,0,3607,1987,895,0,1174,2319,0,0,436,0,22288
2014,Central Otago District Council,Regulatory income and petrol tax,0,184,-2,18,647,0,106,28,192,0,287,112,0,0,694,0,2266
2014,Central Otago District Council,"Current grants, subsidies, and donations income",0,1526,5,0,28,0,4,177,0,0,13,63,0,0,10,0,1826
2014,Central Otago District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,0,565
2014,Central Otago District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Central Otago District Council,Sales and other operating income,0,35,1396,1,54,0,537,421,753,0,1313,173,0,0,62,0,4745
2014,Central Otago District Council,Total operating income,0,6184,3443,3058,3077,0,4254,2613,1840,0,2787,2667,0,0,1767,0,31690
2014,Central Otago District Council,Employee costs,-2110,3189,536,339,877,0,899,618,579,0,672,484,0,0,1059,0,7142
2014,Central Otago District Council,Depreciation and amortisation,0,4299,1197,1552,56,0,927,527,303,0,124,41,0,0,437,0,9463
2014,Central Otago District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,75
2014,Central Otago District Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30
2014,Central Otago District Council,Purchases and other operating expenditure,0,2154,1107,714,1858,1315,1993,1312,1478,0,49,1724,0,0,2714,0,16418
2014,Central Otago District Council,Total operating expenditure,-2110,9642,2840,2605,2791,1315,3819,2457,2360,0,845,2249,0,0,4315,0,33128
2014,Central Otago District Council,Operating surplus/deficit,2110,-3458,603,453,286,-1315,435,156,-520,0,1942,418,0,0,-2548,0,-1438
2014,Chatham Islands Council,Rates,47,0,62,61,58,0,0,0,0,0,0,0,0,0,225,0,453
2014,Chatham Islands Council,Regulatory income and petrol tax,0,0,0,0,0,0,0,0,0,0,25,0,0,0,16,0,41
2014,Chatham Islands Council,"Current grants, subsidies, and donations income",1246,0,0,0,0,0,2,0,0,0,0,94,0,0,0,1913,3255
2014,Chatham Islands Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19
2014,Chatham Islands Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Chatham Islands Council,Sales and other operating income,5,0,0,4,4,0,40,0,61,0,0,12,0,2,32,804,964
2014,Chatham Islands Council,Total operating income,1298,0,62,65,62,0,42,0,61,0,25,106,0,2,292,2717,4732
2014,Chatham Islands Council,Employee costs,0,0,0,0,22,0,46,0,0,75,6,61,0,132,568,0,910
2014,Chatham Islands Council,Depreciation and amortisation,1762,0,29,37,10,0,0,4,29,5,0,0,0,0,25,31,1932
2014,Chatham Islands Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,40
2014,Chatham Islands Council,Interest expenditure,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,34
2014,Chatham Islands Council,Purchases and other operating expenditure,1733,0,175,106,148,0,11,0,10,140,450,39,0,114,384,874,4184
2014,Chatham Islands Council,Total operating expenditure,3495,0,204,143,180,0,57,4,73,220,456,100,40,246,977,905,7100
2014,Chatham Islands Council,Operating surplus/deficit,-2197,0,-142,-78,-118,0,-15,-4,-12,-220,-431,6,-40,-244,-685,1812,-2368
2014,Christchurch City Council,Rates,20285,6762,0,40447,20649,16781,68579,21005,2522,2611,66030,20177,12193,8648,3075,0,309764
2014,Christchurch City Council,Regulatory income and petrol tax,3596,0,0,0,0,0,0,0,0,0,11404,0,0,0,3034,0,18034
2014,Christchurch City Council,"Current grants, subsidies, and donations income",16634,0,0,0,516,0,719,238,0,0,14,100,34,0,4804,0,23059
2014,Christchurch City Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24692,0,24692
2014,Christchurch City Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56264,0,56264
2014,Christchurch City Council,Sales and other operating income,6476,0,25490,6933,7475,40,1756,12632,13192,0,44,711,102,0,0,47619,122470
2014,Christchurch City Council,Total operating income,46991,6762,25490,47380,28640,16821,71054,33875,15714,2611,77492,20988,12329,8648,91869,47619,554283
2014,Christchurch City Council,Employee costs,9120,0,3590,43449,12162,5326,23124,25286,0,0,9577,8505,4112,5832,0,9772,159855
2014,Christchurch City Council,Depreciation and amortisation,37062,0,10651,23267,1822,1107,4702,15446,4455,0,0,0,0,0,15069,0,113581
2014,Christchurch City Council,"Current grants, subsidies, and donations expenditure",1780,0,700,8481,2374,1040,4667,5836,1628,0,1869,2066,803,1139,4476,1854,38713
2014,Christchurch City Council,Interest expenditure,2877,0,1132,13705,3836,1680,7294,7976,0,0,3021,2683,1297,1840,0,3082,50423
2014,Christchurch City Council,Purchases and other operating expenditure,15830,0,5382,74219,21108,8063,37291,40053,0,0,15917,13366,7829,10507,37,14453,264055
2014,Christchurch City Council,Total operating expenditure,66669,0,21455,163121,41302,17216,77078,94597,6083,0,30384,26620,14041,19318,19582,29161,626627
2014,Christchurch City Council,Operating surplus/deficit,-19678,6762,4035,-115741,-12662,-395,-6024,-60722,9631,2611,47108,-5632,-1712,-10670,72287,18458,-72344
2014,Clutha District Council,Rates,7505,0,6025,2090,921,0,670,1637,902,426,430,526,634,958,508,-348,22884
2014,Clutha District Council,Regulatory income and petrol tax,381,0,69,0,0,0,0,0,89,0,1023,0,0,0,187,0,1749
2014,Clutha District Council,"Current grants, subsidies, and donations income",3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3003
2014,Clutha District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,137
2014,Clutha District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Clutha District Council,Sales and other operating income,88,0,82,148,489,0,39,76,936,0,0,0,0,0,0,0,1858
2014,Clutha District Council,Total operating income,10977,0,6176,2238,1410,0,709,1713,1927,426,1453,526,634,958,832,-348,29631
2014,Clutha District Council,Employee costs,508,0,497,0,57,0,364,365,405,120,652,43,21,368,1029,0,4429
2014,Clutha District Council,Depreciation and amortisation,9512,0,1617,1057,0,0,108,273,208,0,0,0,0,0,453,0,13228
2014,Clutha District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,434,50,0,0,0,484
2014,Clutha District Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Clutha District Council,Purchases and other operating expenditure,4890,0,3396,704,948,0,573,715,725,242,459,14,405,515,2055,0,15641
2014,Clutha District Council,Total operating expenditure,14910,0,5510,1761,1005,0,1045,1353,1338,362,1111,491,476,883,3537,0,33782
2014,Clutha District Council,Operating surplus/deficit,-3933,0,666,477,405,0,-336,360,589,64,342,35,158,75,-2705,-348,-4151
2014,Dunedin City Council,Rates,19908,466,18966,27456,3133,0,19858,20444,7225,903,7527,7599,3305,3317,2637,-20916,121828
2014,Dunedin City Council,Regulatory income and petrol tax,781,2213,70,205,7,0,53,5,1836,0,6437,0,0,-5,725,0,12327
2014,Dunedin City Council,"Current grants, subsidies, and donations income",7139,286,0,33,28,0,280,11,11,0,69,124,100,2,0,0,8083
2014,Dunedin City Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8522,0,8522
2014,Dunedin City Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5349,0,5349
2014,Dunedin City Council,Sales and other operating income,434,5821,5368,597,6608,0,1487,4369,17622,74,250,251,803,250,9668,0,53602
2014,Dunedin City Council,Total operating income,28262,8786,24404,28291,9776,0,21678,24829,26694,977,14283,7974,4208,3564,26901,-20916,209711
2014,Dunedin City Council,Employee costs,2106,1211,5209,1113,317,0,8376,5102,1834,367,7185,665,1292,418,11146,6,46347
2014,Dunedin City Council,Depreciation and amortisation,17792,581,9336,11126,736,0,2062,2959,5531,32,2,7,2,3,1989,0,52158
2014,Dunedin City Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,35,595,0,1,278,5785,1479,56,0,0,8229
2014,Dunedin City Council,Interest expenditure,1224,137,1676,5917,165,0,1221,906,4168,0,219,0,0,58,257,564,16512
2014,Dunedin City Council,Purchases and other operating expenditure,14297,1601,10523,8016,7965,0,4210,14132,15274,243,2108,927,662,2026,10397,620,93001
2014,Dunedin City Council,Total operating expenditure,35419,3530,26744,26172,9183,0,15904,23694,26807,643,9792,7384,3435,2561,23789,1190,216247
2014,Dunedin City Council,Operating surplus/deficit,-7157,5256,-2340,2119,593,0,5774,1135,-113,334,4491,590,773,1003,3112,-22106,-6536
2014,Far North District Council,Rates,14338,632,2071,13987,4151,87,2505,5928,4270,959,5850,2703,1825,2583,12131,12,74032
2014,Far North District Council,Regulatory income and petrol tax,689,0,11,47,12,0,49,16,939,613,3479,155,31,88,7658,0,13787
2014,Far North District Council,"Current grants, subsidies, and donations income",5756,291,0,0,0,0,1,100,0,0,0,0,0,5,10,0,6163
2014,Far North District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,156
2014,Far North District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,250
2014,Far North District Council,Sales and other operating income,13,646,6015,122,969,0,74,232,448,0,1,5,318,0,440,0,9283
2014,Far North District Council,Total operating income,20796,1569,8097,14156,5132,87,2629,6276,5657,1572,9330,2863,2174,2676,20645,12,103671
2014,Far North District Council,Employee costs,1087,0,271,580,210,0,877,0,221,353,3908,1071,658,541,6598,0,16375
2014,Far North District Council,Depreciation and amortisation,15746,333,2401,4430,455,0,404,2116,1455,75,52,50,36,4,1149,0,28706
2014,Far North District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,35,282,369,0,5,164,326,340,6875,0,8396
2014,Far North District Council,Interest expenditure,0,0,3,0,29,0,0,0,5,0,0,4,0,0,4405,0,4446
2014,Far North District Council,Purchases and other operating expenditure,11742,1284,3509,4095,3568,75,317,3216,2754,911,1818,3721,263,1245,5741,0,44259
2014,Far North District Council,Total operating expenditure,28575,1617,6184,9105,4262,75,1633,5614,4804,1339,5783,5010,1283,2130,24768,0,102182
2014,Far North District Council,Operating surplus/deficit,-7779,-48,1913,5051,870,12,996,662,853,233,3547,-2147,891,546,-4123,12,1489
2014,Gisborne District Council,Rates,7532,404,2427,10163,4257,6158,2782,5038,488,1083,4451,1465,585,2573,686,969,51061
2014,Gisborne District Council,Regulatory income and petrol tax,311,0,1,0,0,65,194,470,134,0,1907,0,0,0,836,100,4018
2014,Gisborne District Council,"Current grants, subsidies, and donations income",8952,0,0,0,0,0,0,0,5,0,90,172,120,0,8,0,9347
2014,Gisborne District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,99
2014,Gisborne District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
2014,Gisborne District Council,Sales and other operating income,2792,409,1932,18,18,179,-1,-222,1392,47,228,0,8,0,1318,2661,10779
2014,Gisborne District Council,Total operating income,19587,813,4360,10181,4275,6402,2975,5286,2019,1130,6676,1637,713,2573,2953,3730,75310
2014,Gisborne District Council,Employee costs,181,314,276,370,110,1506,913,663,541,251,2871,769,1,182,5985,1000,15933
2014,Gisborne District Council,Depreciation and amortisation,10488,0,2109,2836,264,128,332,348,1288,43,13,0,0,2,631,559,19041
2014,Gisborne District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,31,674,0,0,0,0,23,0,2,468,0,1198
2014,Gisborne District Council,Interest expenditure,60,0,23,347,110,58,6,14,42,2,0,1,0,0,752,10,1425
2014,Gisborne District Council,Purchases and other operating expenditure,15059,161,2613,3820,3207,2220,286,2816,1546,367,949,440,868,794,4516,1055,40717
2014,Gisborne District Council,Total operating expenditure,25788,475,5021,7373,3691,3943,2211,3841,3417,663,3833,1233,869,980,12352,2624,78314
2014,Gisborne District Council,Operating surplus/deficit,-6201,338,-661,2808,584,2459,764,1445,-1398,467,2843,404,-156,1593,-9399,1106,-3004
2014,Gore District Council,Rates,2109,-4,1357,1551,1180,0,1168,2879,799,73,436,384,387,706,65,133,13223
2014,Gore District Council,Regulatory income and petrol tax,108,0,0,0,0,0,6,0,0,0,827,0,0,0,60,0,1001
2014,Gore District Council,"Current grants, subsidies, and donations income",1025,0,25,0,38,0,5,25,2,0,0,26,3,5,23,0,1177
2014,Gore District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,95
2014,Gore District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Gore District Council,Sales and other operating income,44,12,197,309,539,0,61,512,189,0,51,157,34,38,15,0,2158
2014,Gore District Council,Total operating income,3286,8,1579,1860,1757,0,1240,3416,990,73,1314,567,424,749,258,133,17654
2014,Gore District Council,Employee costs,206,0,526,68,0,0,648,1445,172,0,555,0,132,254,1315,1,5322
2014,Gore District Council,Depreciation and amortisation,2308,1,579,958,72,0,158,368,180,4,38,0,1,19,104,30,4820
2014,Gore District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,560,0,0,65,0,625
2014,Gore District Council,Interest expenditure,23,0,34,152,117,0,30,143,87,0,28,0,0,0,22,25,661
2014,Gore District Council,Purchases and other operating expenditure,1659,4,924,240,1562,0,268,1089,340,75,445,0,65,222,1195,53,8141
2014,Gore District Council,Total operating expenditure,4196,5,2063,1418,1751,0,1104,3045,779,79,1066,560,198,495,2701,109,19569
2014,Gore District Council,Operating surplus/deficit,-910,3,-484,442,6,0,136,371,211,-6,248,7,226,254,-2443,24,-1915
2014,Greater Wellington Regional Council,Rates,0,48736,0,0,0,34853,0,5214,0,0,0,0,0,0,555,13652,103010
2014,Greater Wellington Regional Council,Regulatory income and petrol tax,0,0,0,0,0,6564,0,0,0,0,0,0,0,0,0,0,6564
